Date,Ticker,Client_Name,Deal_Type,Quantity,Price,Exchange,Deal_Source
2026-08-27,AASTHA,JAGID VANITABEN RAJENDRAPRASAD,BUY,481894,88.37,NSE,BULK
2026-08-27,AASTHA,L7 HITECH PRIVATE LIMITED,BUY,864735,88.36,NSE,BULK
2026-08-27,AMBAAUTO,GOMOTO TEXTILES PRIVATE LIMITED,BUY,115000,114.85,NSE,BULK
2026-08-27,ASIANTILES,THAKKAR NILESHKUMAR FARSHURAM HUF,BUY,1735289,47.02,NSE,BULK
2026-08-27,ATALREAL,CHAUBARA EATS PRIVATE LIMITED,BUY,1240387,35.61,NSE,BULK
2026-08-27,ATALREAL,HRTI PRIVATE LIMITED,BUY,1367631,35.53,NSE,BULK
2026-08-27,ATALREAL,ACME CAPITAL MARKET LIMITED,BUY,1855023,35.33,NSE,BULK
2026-08-27,ATALREAL,ALTIZEN VENTURES LLP,BUY,812753,35.15,NSE,BULK
2026-08-27,ATALREAL,MAHESH MULCHAND WAGHELA,BUY,1975187,35.26,NSE,BULK
2026-08-27,ATALREAL,BULLPULSE MARKETEDGE PRIVATE LIMITED,BUY,1000000,35.79,NSE,BULK
2026-08-27,ATALREAL,JIAUM BROKING LLP,BUY,1000000,35.78,NSE,BULK
2026-08-27,AYE,F3 ADVISORS PRIVATE LIMITED,BUY,178081,175.91,NSE,BULK
2026-08-27,BANG,IRAGE BROKING SERVICES LLP,BUY,124051,34.37,NSE,BULK
2026-08-27,BANG,ORION STOCKS LTD,BUY,17432,34.63,NSE,BULK
2026-08-27,BBTC,NK SECURITIES RESEARCH PRIVATE LIMITED,BUY,620149,1608.94,NSE,BULK
2026-08-27,BBTC,MICROCURVES TRADING PRIVATE LIMITED,BUY,795485,1613.68,NSE,BULK
2026-08-27,BBTC,BLITZQUANT RESEARCH LLP,BUY,375552,1605.93,NSE,BULK
2026-08-27,BBTC,ELIXIR WEALTH MANAGEMENT PRIVATE LIMITED,BUY,448910,1613.69,NSE,BULK
2026-08-27,BIOFILCHEM,ORION STOCKS LTD,BUY,3856,32.94,NSE,BULK
2026-08-27,BLEL,JUNOMONETA FINSOL PRIVATE LIMITED,BUY,219180,470.16,NSE,BULK
2026-08-27,BVCL,IRAGE BROKING SERVICES LLP,BUY,120702,44.35,NSE,BULK
2026-08-27,BVCL,ORION STOCKS LTD,BUY,42150,44.01,NSE,BULK
2026-08-27,GCSL,MANSUKH SECURITIES & FINANCE LIMITED,BUY,314443,538.25,NSE,BULK
